ID Tweet,ID User,Screen Name,Tweet,Timestamp,
b'1128197750258946049',b'2314649161',AbiJaka110,"b'@Yuri_Prasetyo_B @Pemilu_Kini @Ronnie_Rusli @prabowo @AkunTofa @Dahnilanzar @PriyoBudiS @yunartowijaya @sudirmansaid @msaid_didu @fadlizon @ReflyHZ @sjafriesjams Selamat Menunaikan Ibadah Puasa, bulan penuh berkah dan ampunan \xf0\x9f\x98\x8d'",5/14/2019 7:17,1
b'1128197628984881152',b'1100376740063436802',Hergunawan3,b'@fardhan_rizki @Dahnilanzar @prabowo @sandiuno Parameter dan wasit yang mestinya bilang bukan pemain bola atau supporter\xf0\x9f\x98\x8a',5/14/2019 7:17,0
b'1128197407617966081',b'3224300810',MPongtasik,"b'@eko_kuntadhi @prabowo Tp kalo cita2nya tercapai, kasihan dong anaknya yg katanya baru 3 hari. Orang tua yg bodoh, anaknya yg tanggung akibatnya'",5/14/2019 7:16,0
b'1128197363195973632',b'1064040134595629056',LilikSukses1975,"b'@prabowo Idealisme itu hasil pemikiran yg sempurna (versi manusia yaa, bukan versi ketuhanan). \n\nIdealisme pasti membekas dan meninggalkan kesan yg mendalam sehingga bisa mempengaruhi pikiran, ucapan, dan tindakan publik. \n\nSudah kodratnya manusia mengikuti kebenaran!'",5/14/2019 7:16,1
b'1128197361639903235',b'2534340504',8e9aca18c8de48f,b'@GJhosua @Dahnilanzar @prabowo @sandiuno Bukannya data dah dsampeiken ke bawaslu.. justru kita pongin liat apa yg dah dilakukan bawaslu terkait laporan tsb',5/14/2019 7:16,1
b'1128197271047131136',b'158998497',Iboyrollies,b'@BamsBulaksumur @prabowo @Restcayah @KingPurwa @PSD_313 nggak ada pertanyaan lain emang pak..???',5/14/2019 7:16,0
b'1128197166403543040',b'1128114056563281920',Comebac32914835,"b'@tienkustinii @MichelAdamNew @prabowo Mantap,,,,'",5/14/2019 7:15,1
b'1128196989101830144',b'1108409378590253056',ANDYBAC63403418,b'@Astuty64 @prabowo ..PASTI lebih siap dari pada mereka yg anak kemarin sore bagi beliau di Medan tempur',5/14/2019 7:14,0
b'1128196445947944960',b'1064040134595629056',LilikSukses1975,"b'@prabowo Apa solusinya? \nBagaimana cara seorang pemikir bisa mengalahkan hasil pemikirannya sendiri? \n\n(Silakan menertawakan kelucuan situasi dilema yg dihadapi @prabowo ini, memang lucu, meski sebenarnya kasihan juga.)'",5/14/2019 7:12,0
b'1128196438553497605',b'154032877',yusri_albima,b'@Zombie_9Q @AzisDevy @DivHumas_Polri Ank2 China itu jelas2 mengacam menembak dn memenggal serta telah menista Presiden @jokowi tp dibebaskan Polri. Sdngkan Santri Pribumi yg mengancam Capres Jokowi langsung diciduk dn diancam hukuman mati dgn tuduhan MAKAR pula. @prabowo @SBYudhoyono @sandiuno @Fahrihamzah',5/14/2019 7:12,0
b'1128196335688011776',b'1098545563291664390',Iyut58793032,"b'@Cheva_2 @prabowo No 1 malahan \xf0\x9f\xa4\xad caranya ""pra trus spasi"". https://t.co/o1o7KlgJSp'",5/14/2019 7:12,1
b'1128196309029085184',b'239320717',wennyherusaleh,"b'@PenguntaiKata @silver_legend @sandiuno @prabowo In Syaa Allah sya tdk mabuk mbak ctq\xf0\x9f\x98\x8a, saya cuma mnyampaikan apa yg diberitakan oleh media2 yg ada di Indonesia mbak\xf0\x9f\x99\x8f. Semoga saja di bulan Ramadhan yg penuh berkah ini Allah SWT membuka yg benar adh benar, &amp; yg salah adh salah..Aamiin.. \xf0\x9f\xa4\xb2'",5/14/2019 7:12,1
b'1128196241513254913',b'1119092384652906499',MamaAfif2,b'@ArjunaFreddy @Syarman59 @sandiuno @prabowo Ya ampunnn otak lu se upil sandiaga aja ga ada... Dasar sampah',5/14/2019 7:11,0
b'1128196157002248193',b'255846345',szakty,b'@AntoniRaja @prabowo Lahh.. mash idup broh..',5/14/2019 7:11,0
b'1128196154045321216',b'1088071207117713410',SharezaAssa,"b'@Dahnilanzar @prabowo @sandiuno Buktikan saja jika mampu membuktikan ,,@ hati2 berbalik'",5/14/2019 7:11,1
b'1128196129772883968',b'1124343654045192192',fardhan_rizki,"b""@Hergunawan3 @Dahnilanzar @prabowo @sandiuno Buka  soal kalah atau menang bung'tapi jujut dan keadilan yg rakyat seperti sy harapkan.mungkin tidak bg anda.""",5/14/2019 7:11,1
b'1128195967293853697',b'842708582088900608',Shella_dila,"b'@Constantine599 @Yuri_Prasetyo_B @NonaYenAje @Ronnie_Rusli @prabowo @AkunTofa @Dahnilanzar @PriyoBudiS @yunartowijaya @sudirmansaid @msaid_didu @fadlizon @ReflyHZ @sjafriesjams Bohongnya dmn, kmaren udh ditantang buka2an data tp kubu 02 ga berani dtg'",5/14/2019 7:10,0
b'1128195965893038080',b'1088461974369796096',OmFir2,"b'@fahiraidris @prabowo @sandiuno @nurasiauno @fadlizon @Fahrihamzah @Gamal_Albinsaid @francmohede @BangJapar_FI @AldwinRahadian @KomnasHAM Sy minta tolong sm ibuk, bs gak data2 lengkap org2 yg meninggal ibuk minta in sm yg berwenang. Mhn maaf sy msh tdk percaya sampe 500 org lebih buk, maaf'",5/14/2019 7:10,1
b'1128195952932577280',b'861524895024402434',ajisuryo2000,b'@Aryprasetyo85 @FaGtng @prabowo @My_LoveNebe Perdekar sempak merah',5/14/2019 7:10,0
b'1128195832124076034',b'1113613376658100224',rikko00664874,b'@Dahnilanzar @prabowo @sandiuno Kalah itu memang menyakitkan bang dahnil....\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',5/14/2019 7:10,0
b'1128195777715507200',b'1367841486',DenBey04,b'@AntoniRaja Pak @prabowo dan Pak @sandiuno. Pendukungnya tuh! Pada stress. Kasihan pak..',5/14/2019 7:10,0
b'1128195705523204096',b'1121210999812415490',Mohammadimam79,"b'@Syarman59 @sandiuno @prabowo Goblok di pelihara...!!!\nbeliau mngatakan seperti itu, sebagai bentuk perhargaan kpd seluruh rakyat indonesia.\nkamu berkata plintat plintut bermakna kubu yg kau dukung syarat dg kecurangan...\nmikir pakai otak manusia, jangan otak cebong yg kau pakai.'",5/14/2019 7:09,0
b'1128195429538062336',b'1111555415114825729',mamat_junaedi,b'@sikumbang02 @jumhurhidayat @bawaslu_RI @DKPP_RI @jokowi @prabowo Semoga pada terbuka mata hatinya',5/14/2019 7:08,0
b'1128195258586501121',b'1095909755594272768',GnDProperty,b'@mad_pecci Cc @ridwankamil @jokowi @DivHumas_Polri   kriiik kriiik kriiiik space space space\n\n@prabowo @sandiuno presiden RI',5/14/2019 7:08,0
b'1128195161840766976',b'1064040134595629056',LilikSukses1975,b'@prabowo Itulah rahasianya kenapa idealisme hasil pemikiran @prabowo bisa mengalahkan pemikirnya sendiri. \nDan 2019 ini terulang lagi!',5/14/2019 7:07,0
b'1128195082245382145',b'2864375188',upheephee,b'@sandiuno Sehat selalu Pak @sandiuno dan @prabowo . Kami selalu bersama kalian berdua.\xe2\x9c\x8c\xef\xb8\x8f',5/14/2019 7:07,1
b'1128194949709611009',b'1001862484641304576',Mikayla03993321,"b'@Syarman59 @sandiuno @Odang4Z @prabowo @PDemokrat Sampean yg berantakan,  masih blm siuman juga.\nsdh jelas,  sdh terang,  sdh terbukti curang. \nAnda sdh kehilangan salah satu anugerah yaitu mata hati or hati nurani'",5/14/2019 7:06,0
b'1128194873293561856',b'1086731240189784065',Moses96979769,b'@eko_kuntadhi @prabowo Kalo beneran dia niat seperti itu y monggo silahkan. Saya cuma berharap satu hal jangan sampai pelaku ini mati biarkan dia menderita sakit atau cacat biar dia tahu seperti apa rasanya sengsara n menyaksikan anaknya tumbuh dalam keadaan dia seperti itu',5/14/2019 7:06,1
b'1128194829412753408',b'1072873718429274112',IwanSukarno8,b'@sandiuno @prabowo Asal bukan asumsi lho bang.',5/14/2019 7:06,1
b'1128194602551263232',b'1097456786271948801',WanAboed7,b'@sandiuno @prabowo Ke Bawaslu pak',5/14/2019 7:05,1
b'1128194532632190976',b'1962154628',gbudenfild,"b'@jek___ @prabowo @jokowi jadilah kampret ato cebong, jdi manusia dah ga jaman'",5/14/2019 7:05,0
b'1128194515595026433',b'875098355050749952',endrien2,b'@sandiuno @prabowo Mantap pak.',5/14/2019 7:05,1
b'1128194467423555585',b'154032877',yusri_albima,"b'@NurAlamsyahBdg @AzisDevy @prabowo @sandiuno Bagi Daerah2 yg sdh jelas2 dimenangkan 02, sebaiknya mulai melakukan Deklarasi Kemenangan secara bersama2 dr Kota, Kabupaten smp Provinsi. @prabowo @sandiuno @PriyoBudiS @Fahrihamzah @fadlizon @do_ra_dong'",5/14/2019 7:04,1
b'1128194357293604864',b'1064040134595629056',LilikSukses1975,"b'@prabowo Buzzer bisa memviralkan informasi sesuai pesanan. \nDan melawan informasi yg ""merugikan"". \nBisa dg informasi pembanding yg berlawanan, atau informasi tambahan yg mengubah cara pandang, atau membully habis-habisan.'",5/14/2019 7:04,0
b'1128194126069952513',b'1245774278',gunady_678,b'@Dahnilanzar @prabowo @sandiuno Curang bagaimana.... Bukannya di TPS ada saksi\xc2\xb2. \n\nLagi pula kubu anda kan sudah claim kemenangan kenapa masih bilang curang.',5/14/2019 7:03,0
b'1128194104100130816',b'707858092784922625',Mahmudrizqi30,b'@Dahnilanzar @prabowo @sandiuno Apa kantor bawaslu udah pindah di hotel...',5/14/2019 7:03,1
b'1128194091093651456',b'807975619132735488',Mohfaizinsyakur,"b'@Dahnilanzar @prabowo @sandiuno Gelarmu s3,,  cara pemikiranmu  tengik Nil.,, Abu jahl al indonesiy.'",5/14/2019 7:03,0
b'1128194002757382145',b'1029000053250174976',IbnuLubis6,"b'@lyndaibrahim @prabowo @sandiuno lihat aja tanggal 22 mei gmana? Lihat aja gmana kubu 01 dan 02 mengungkapkan masing2 data mereka... Light, selidiki, dan pahami.. Baru pake logika dan nurani kita pilih mana yang menurut kita benar... Karena saya sebagai orang awam betul2 bingung YANG JUJUR YANG MANA'",5/14/2019 7:03,1
b'1128193862768271361',b'2739595495',YantiSoedjarwo,b'Jadi Kemenangan @jokowi di Ja-Teng Menang TELAK. Sy warga JA-Teng sgt Militan dng Pak Jokowi tetapi kami berusaha Tertib gak melawan DEMO2 pendukung @prabowo gak ada manfaatnya DEMO2 Ke @bawaslu_RI Misi BPN Prabowo-Sandiaga di Jawa Tengah Berakhir Tragis! https://t.co/IKzvrM83pP',5/14/2019 7:02,1
b'1128193855885533185',b'165122514',namrejreznap,b'@eko_kuntadhi @prabowo Mau aja diboongin sama wowo... \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',5/14/2019 7:02,0
b'1128193833294893056',b'1120497047965011969',Gajahmada23,b'@INTANHambaAllah @sandiuno @prabowo Jahap... \xf0\x9f\x98\x84',5/14/2019 7:02,0
b'1128193831227183105',b'1125930271394549760',PujiantoHary,b'@Dahnilanzar @fadlizon Yang penting @jokowi menang pilpres dan @prabowo sukses jadi capres seumur hidup',5/14/2019 7:02,0
b'1128193720682106880',b'239320717',wennyherusaleh,"b'@PenguntaiKata @silver_legend @sandiuno @prabowo tdi kmu tuduh BPN tdk transparan kan\xf0\x9f\xa4\x94? skrng diajak transparan gak mau\xf0\x9f\x98\x8a. Sudah ya mbak ctq \xf0\x9f\x99\x8f ""Saya Indonesia, Saya Pancasila"", walaupun kita beda pilihan ttp kita tetap saudara sebangsa &amp; setanah air Indonesia \xf0\x9f\x98\x8d\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x98\x98'",5/14/2019 7:01,0
b'1128193627581063168',b'2294317122',Delva_8055,b'@eko_kuntadhi @tatafatkhan @prabowo Koplak bin konyol',5/14/2019 7:01,0
b'1128193621776261120',b'926487776081539072',skandalmedia,"b'@otakkampret @ade_massa @KPU_ID @KPU_RI @prabowo B-) bentuk kecurangan sudah dibuktikan,  tp gak mau klarifikasi dan validasi tunjukin Berkas aseli yg jadi acuan, malah berkeras melegalkan Data siluman, terus ngarep Rakyat terima kebohongan en kecurangan, mending kelaut aje atau buat pulau sendiri buat legal kecurangan :-P https://t.co/MN9DGSQbQe'",5/14/2019 7:01,0
b'1128193615551819777',b'1093170794933280768',Muhammadarisju2,b'@NurdianaRisman @GJhosua @Dahnilanzar @prabowo @sandiuno Setuju.....tp lihat flashback kedua capres.........',5/14/2019 7:01,1
b'1128193605204447232',b'1064040134595629056',LilikSukses1975,b'@prabowo Bagaimana dg media sosial yg penggunanya aktif dan interaktif?  \nInformasi apapun bisa viral tanpa kontrol? \nJasa buzzer jawabannya!',5/14/2019 7:01,0
b'1128193397938900992',b'3309888654',Amelia_Humayra,b'@Prof_Tamburin @prabowo Aamiin Allahuma aamiin',5/14/2019 7:00,1
b'1128193197463592961',b'1093170794933280768',Muhammadarisju2,b'@BangRon47384926 @FaberArios @irham838 @GJhosua @Dahnilanzar @prabowo @sandiuno Hhhh sip......tp tunggu aja ya...siapa yang menang dan siapa yang benar dan siapa yang curang.......tuhan tidak tidurr',5/14/2019 6:59,1
b'1128193051522768897',b'95615763',bowo_1987,"b'@BamsBulaksumur @prabowo @Restcayah @KingPurwa @PSD_313 bruakakak... pertanyaan ente sama kyk keponakan gue umur 4 tahun. keponakan gue nanya, om.. om puasa apa kagak ? ternyata otak elu itu sama kyk anak 4 tahun blm berkembang..'",5/14/2019 6:59,
b'1128193043104796672',b'715428101597978624',SlamatSubur,b'@Mangkubini2 @eko_kuntadhi @prabowo Bisa gebrak2 meja podium juga... \xf0\x9f\x98\x8b',5/14/2019 6:59,
b'1128192996522872832',b'1044523036680978433',ECantq,b'@Prof_Tamburin @prabowo Amin...ya Allah....',5/14/2019 6:59,
b'1128192903233171457',b'1120497047965011969',Gajahmada23,b'@Syarman59 @sandiuno @prabowo H2C',5/14/2019 6:58,
b'1128192870467293184',b'1125930271394549760',PujiantoHary,b'@rmolco @fadlizon Kowe kuwi budeg apa picek? Duh... untung @prabowo keok falam pilpres... kalau menang ancur lebur nih negara.',5/14/2019 6:58,
b'1128192816591409152',b'949523057667796993',adrian_rwk,b'@sandiuno @prabowo \xf0\x9f\x98\xb4\xf0\x9f\x98\xaa',5/14/2019 6:58,
b'1128192812674011137',b'994008693497778176',ArdiansyahNu,b'@edhi_shi @aagym @prabowo \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82ikut kampret \xf0\x9f\x98\x82',5/14/2019 6:58,
b'1128192794047025152',b'878886325',Satupriodelagi,b'@eko_kuntadhi @prabowo He3..anak buahnya msh semangat sementara bos2nya sdh pd kabur.',5/14/2019 6:58,
b'1128192725319176192',b'1064040134595629056',LilikSukses1975,"b'@prabowo Informasi yg ""tidak baik"" akan diblock dan tidak disiarkan. \nAtau jika terpaksa maka akan diolah sedemikian rupa sehingga informasi itu menjadi tidak penting dan bisa diabaikan.'",5/14/2019 6:58,
b'1128192668415062018',b'964628380195766277',al_nghothot,"b'@ridacita @Sopy_Civics @wahyu_qj @EndangPRS @prabowo @BertemanM @AdhieMassardi @Ayaniulva @haikal_hassan @fadlizon @helmifelis @RamliRizal @msaid_didu @Fahrihamzah @AkunTofa Gak cuma cina. Ada negara atau lembaga lainya yg memberi sumbangan NU utk kemaslahatan umat.\n\nSeperti misalnya orang2 memberi sumb ke mesjid. Ketua mesjid hny bisa menerima, tp kegunaanya utk kemakmuran mesjid.\n\nSampai disini paham?\n\nHanya PKI yg fitnah ulama'",5/14/2019 6:57,
b'1128192639482810368',b'1971827162',aryaprab,b'@Dahnilanzar @prabowo @sandiuno Saya hadir bareng DEWI PERSIK',5/14/2019 6:57,
b'1128192638526509056',b'1127572051357659137',AnakLanang727,b'@CNNIDdaily @CNNIndonesia @sandiuno @prabowo Dicurangi dr 62% jadi 0%..',5/14/2019 6:57,
b'1128192636840366080',b'1084768962234073088',MerdianaMeigi,b'@Dahnilanzar @prabowo @sandiuno Bank saya rasa prabowo Sandi menang telak 162% hahaa',5/14/2019 6:57,
b'1128192607211872256',b'570701188',ditelanjangi,b'@jek___ @prabowo',5/14/2019 6:57,
b'1128192446628646912',b'134705434',togarindo,b'@Gerindra @prabowo @sandiuno Undang mahkamah internasional bang. Mantab!',5/14/2019 6:56,
b'1128192436906278912',b'1084768962234073088',MerdianaMeigi,"b'@estiera @Dahnilanzar @prabowo @sandiuno Ini kan data2an trus yang datang juga orang2 sendiri, sebernya semua main2an hehee'",5/14/2019 6:56,
b'1128192416819732480',b'465308314',bening_saguling,"b'@Yuri_Prasetyo_B @ShalatDuha @Ronnie_Rusli @prabowo @AkunTofa @Dahnilanzar @PriyoBudiS @yunartowijaya @sudirmansaid @msaid_didu @fadlizon @ReflyHZ @sjafriesjams Quick count, team pembuatan kecurangan dan KPU sepertinya berjalan berbarengan dan saling bergandeng tangan.'",5/14/2019 6:56,
b'1128192375577202688',b'99431483',espy517,b'@sandiuno @prabowo Maksud dan tujuannya apa ya ????? Kalau mau memaparkan kecurangan pemilu bukannya lebih baik di hadapan bawaslau dan itu ada waktu dan tahapannya masing2 tingkatan',5/14/2019 6:56,
b'1128192365942824961',b'1111555415114825729',mamat_junaedi,b'@BarackObama @realDonaldTrump @Ferdinand_Haean @syaikhu_ahmad @marierteman @prabowo @aagym @JimlyAs @Fraksi_PAN @TututSoeharto49 @salimsegaf @mohmahfudmd https://t.co/JvgTAGjUAt',5/14/2019 6:56,
b'1128192254248505344',b'937216699',___P_a_d_i___,b'@Aries19684926 @KPU_ID @bawaslu_RI @jokowi @prabowo @Dahnilanzar @DivHumas_Polri RAS masal akun @Niaabdurahman',5/14/2019 6:56,
b'1128192242370265088',b'1064040134595629056',LilikSukses1975,"b'@prabowo Informasi yg ""baik"" menurut versi mereka akan secepatnya disiarkan secara terus-menerus sehingga publik akan terpengaruh.'",5/14/2019 6:56,
b'1128192176830042113',b'288062272',ferryadinegoro,b'@CNNIDdaily @sandiuno @prabowo lho katanya dah menang 62%.. pie yo yo..',5/14/2019 6:55,
b'1128192161478955008',b'1127944931249512448',ArethaYuyan,b'@sandiuno @prabowo Gak nyerah kok pak..masih juang meski tertatih...masih yakin ma Allah SWT',5/14/2019 6:55,
b'1128191992607850496',b'1120701578040582144',bundodina,b'@zarazettirazr @wongkampung37 @sandiuno @prabowo @PriyoBudiS @Dahnilanzar @tv2nkri @digdayatv Ngapain nonton berita hoax..ogah banget\xf0\x9f\x98\x9d',5/14/2019 6:55,
b'1128191964698951680',b'1074948910525763584',Deni42891963,b'@indrakamaruddin @AntoniRaja @prabowo Senayan kaga dapat.kan msh ada target. jadi jaksa agung .mentri .atau dirut.makanya skrng agak galak2 dikit ke oposisi..',5/14/2019 6:54,
b'1128191910751772672',b'155705208',syuaiby,b'@Prof_Tamburin @prabowo amin YRA',5/14/2019 6:54,
b'1128191896566714368',b'937216699',___P_a_d_i___,b'@Aries19684926 @KPU_ID @bawaslu_RI @jokowi @prabowo @Dahnilanzar @DivHumas_Polri video ini di ambil di markas perhitungan TKN.\nkenapa kita sibuk share',5/14/2019 6:54,
b'1128191598494306304',b'154194907',MuhammadNurAkba,b'@Dahnilanzar @prabowo @sandiuno Mulainya jam brp bang @Dahnilanzar ?',5/14/2019 6:53,
b'1128191584766386176',b'100177336',kendoXirfane,"b'Jadi, tim dan @prabowo @sandiuno selama ini dipancing agar keluar kandang buat keonaran, agar berbuat anarkis dan lain sebagainya. Tujuannya biar dikenakan sanksi atau diskualifikasi pilpres. https://t.co/xtQXZYuw1W'",5/14/2019 6:53,
b'1128191354872315904',b'937216699',___P_a_d_i___,b'@Aries19684926 @KPU_ID @bawaslu_RI @jokowi @prabowo @Dahnilanzar @DivHumas_Polri video ini..... jebakan betmen jangan dishare tak berarti apa2..',5/14/2019 6:52,
b'1128191345581936641',b'134705434',togarindo,b'@Dahnilanzar @prabowo @sandiuno Undang mahkamah internasional bang. Mantab!',5/14/2019 6:52,
b'1128191171224686594',b'265635485',Kurniadi_Abdul,"b'@AYWarman @JoeWongJaVa @Lustrilanang @saepullohtoto @Dahnilanzar @fadlizon @Fahrihamzah @RamliRizal @msaid_didu @Gerindra @AkunTofa @PKSejahtera @prabowo @RoemahSandi @bawaslu_RI emang ada apa kalimat dan pasal sebelumnya....??? masalah KPU Kab kota gak bs memindai dan mengunggah C1..???\n\nTolol banget nih orang... kl Kab gak bs maka KPU Prov wjib memfasilitasi, dan itu pun plng lmbat 5 hari... lha kalo KPU Kab bisa..??? apa mesti 1 bulan...??? lo yg IDIOT'",5/14/2019 6:51,
b'1128191139603931136',b'1046762550770130944',empo_bolong,b'@ProfYLH @jokowi @rockygerung @prabowo aset dungu &amp; dunguisme RG disenangi &amp; dicintai 02?',5/14/2019 6:51,
b'1128191134600056833',b'861967480553488384',JajatSu97476092,b'@KingPurwa @prabowo @ulinyusron #UlinYusronKebalHukum \n#UlinManusiaSetengahDewa',5/14/2019 6:51,
b'1128190880400064513',b'382522068',LinNasution,b'@ProfYLH @TJANSAS @prabowo @sandiuno @kivlan_zen @SBYudhoyono @Gerindra @PDemokrat @joked2019 @panca66 @bumnbersatu @AndiArief__ @AgusYudhoyono @jansen_jsp Duluran rusak gegoro harta',5/14/2019 6:50,
b'1128190841497894912',b'1127149239623045120',AlImam11652986,"b'@sandiuno @prabowo Hati hati Pak ,, salah membuat narasi kecurangan bisa kena adab lohh, ini lg bulan suci'",5/14/2019 6:50,
b'1128190788322508800',b'1064040134595629056',LilikSukses1975,b'@prabowo Itulah kekuatan media massa dan media sosial. \nSiapa pun yg menguasai media publik maka akan bisa menguasai informasi. \nInformasi bisa difilter agar sesuai dg kepentingan penguasa media.',5/14/2019 6:50,
b'1128190690289016832',b'704940460888956928',SoetoyoWijaya,"b'@eko_kuntadhi @prabowo Masuk surga atas izin Allah SWT lgs,bukan wilayahnya manusia'",5/14/2019 6:49,
b'1128190638619410439',b'1095909755594272768',GnDProperty,"b'@Yswn_Kawilarang Ya ALLAH cepat indonesia punya presiden baru, bantu palestina cc @prabowo @sandiuno'",5/14/2019 6:49,
b'1128190585746026497',b'1119483481296265216',cs_asp,b'@VIVAcoid Kalau gak sekarang kapan lagi?\nBelum tentu kesempatan datang 2 kali semangat bang@sandiaga uno pak @prabowo',5/14/2019 6:49,
b'1128190561876209664',b'235883085',BlessedRivaldi,"b'@one_zhaq @BamsBulaksumur @prabowo @Restcayah @KingPurwa @PSD_313 Setan kau, batal sudah'",5/14/2019 6:49,
b'1128190521002717185',b'165604837',muadt,b'@Dahnilanzar @prabowo @sandiuno Aamiin YRA. Harcurkan kedzaliman dan kecurangan dibumi pertiwi',5/14/2019 6:49,
b'1128190505001422848',b'1445927790',spurwanto0202,b'@ProfYLH @prabowo @sandiuno @kivlan_zen @SBYudhoyono @Gerindra @PDemokrat @joked2019 @panca66 @bumnbersatu @AndiArief__ @AgusYudhoyono @jansen_jsp Halu yg terstruktur dan masif',5/14/2019 6:49,
